Nilai;Kurs Jual;Kurs Beli;Tanggal
1;17242.64;17065.34;6/21/2021
1;17267.62;17090.08;6/18/2021
1;17380.22;17201.6;6/17/2021
1;17362.93;17184.5;6/16/2021
1;17313.24;17139.56;6/15/2021
1;17375.15;17198.02;6/14/2021
1;17415.3;17236.35;06/11/2021
1;17475.17;17297.03;06/10/2021
1;17452.24;17274.33;06/09/2021
1;17443.18;17265.35;06/08/2021
1;17427.68;17249.99;06/07/2021
1;17513.75;17335.22;06/04/2021
1;17477.98;17299.81;06/03/2021
1;17524.86;17344.79;06/02/2021
1;17542.61;17363.79;06/01/2021
1;17542.61;17363.79;5/31/2021
1;17537.87;17359.1;5/28/2021
1;17664.03;17483.99;5/27/2021
1;17602.03;17421.17;5/26/2021
1;17602.03;17421.17;5/25/2021
1;17661.31;17482.72;5/24/2021
1;17636.47;17456.68;5/21/2021
1;17573.63;17395.92;5/20/2021
1;17563.41;17382.96;5/19/2021
1;17440.4;17262.6;5/18/2021
1;17368.63;17194.39;5/17/2021
1;17369.64;17192.57;5/14/2021
1;17369.64;17192.57;5/13/2021
1;17369.64;17192.57;05/12/2021
1;17369.64;17192.57;05/11/2021
1;17357.48;17180.5;05/10/2021
1;17383.61;17204.93;05/07/2021
1;17409.09;17232.99;05/06/2021
1;17408.14;17230.62;05/05/2021
1;17519.9;17341.26;05/04/2021
1;17571.22;17392.07;05/03/2021
1;17617.08;17440.34;4/30/2021
1;17612.8;17434.66;4/29/2021
1;17572.26;17394.53;4/28/2021
1;17622.27;17441.15;4/27/2021
1;17637.0;17458.61;4/26/2021
1;17564.07;17384.96;4/23/2021
1;17560.72;17381.65;4/22/2021
1;17597.25;17416.38;4/21/2021
1;17607.07;17426.08;4/20/2021
1;17564.22;17388.0;4/19/2021
1;17641.0;17461.09;4/16/2021
1;17600.34;17422.3;4/15/2021
1;17513.86;17336.68;4/14/2021
1;17478.83;17303.46;4/13/2021
1;17420.83;17241.69;04/12/2021
1;17406.18;17231.53;04/09/2021
1;17339.33;17162.46;04/08/2021
1;17241.43;17068.43;04/07/2021
1;17160.2;16983.67;04/06/2021
1;17189.64;17014.24;04/05/2021
1;17177.0;17000.28;04/02/2021
1;17177.0;17000.28;04/01/2021
1;17150.6;16978.49;3/31/2021
1;17133.73;16957.48;3/30/2021
1;17102.77;16931.16;3/29/2021
1;17105.38;16929.43;3/26/2021
1;17189.2;17012.4;3/25/2021
1;17204.66;17032.03;3/24/2021
1;17284.48;17106.76;3/23/2021
1;17272.67;17099.37;3/22/2021
1;17325.67;17147.51;3/19/2021
1;17337.42;17163.47;3/18/2021
1;17295.15;17117.31;3/17/2021
1;17290.97;17113.18;3/16/2021
1;17315.66;17137.62;3/15/2021
1;17295.32;17117.51;03/12/2021
1;17222.16;17045.06;03/11/2021
1;17222.16;17045.06;03/10/2021
1;17236.12;17058.86;03/09/2021
1;17235.75;17058.52;03/08/2021
1;17266.44;17093.2;03/05/2021
1;17322.2;17148.42;03/04/2021
1;17412.13;17233.17;03/03/2021
1;17304.57;17130.96;03/02/2021
1;17366.52;17188.03;03/01/2021
1;17421.87;17244.27;2/26/2021
1;17241.89;17064.71;2/25/2021
1;17220.72;17043.77;2/24/2021
1;17284.4;17106.79;2/23/2021
1;17172.21;16997.13;2/22/2021
1;17106.84;16931.01;2/19/2021
1;17018.74;16843.81;2/18/2021
1;17039.36;16868.42;2/17/2021
1;16935.45;16765.56;2/16/2021
1;17003.88;16829.14;2/15/2021
1;17064.84;16890.86;02/12/2021
1;17064.84;16890.86;02/11/2021
1;17038.04;16867.12;02/10/2021
1;16995.15;16820.48;02/09/2021
1;16931.84;16761.97;02/08/2021
1;16907.9;16734.06;02/05/2021
1;16976.79;16806.47;02/04/2021
1;16973.53;16800.46;02/03/2021
1;17057.03;16885.92;02/02/2021
1;17118.11;16942.19;02/01/2021
1;17136.76;16964.84;1/29/2021
1;17168.0;16995.77;1/28/2021
1;17216.09;17043.38;1/27/2021
1;17191.57;17019.11;1/26/2021
1;17222.07;17049.3;1/25/2021
1;17196.3;17021.0;1/22/2021
1;17110.23;16935.79;1/21/2021
1;17171.6;16995.14;1/20/2021
